geo_code,average,x,y
06020204,0.095,591269.7844124946,4541656.773
06020301,0.181,583837.1574500159,4553441.355
06030101,0.212,578196.6407932814,4564601.549
06030102,0.16,581069.8577661108,4573138.217
06030103,0.153,566200.9271918663,4572440.806550001
06030201,0.138,584037.1452604914,4578389.564
06030301,0.187,571314.6704598847,4576497.805
06030401,0.2,595055.2789909812,4568951.674
06040001,0.164,567095.9295554964,4536461.243
06040002,0.124,568833.4063656451,4534135.962
06040003,0.061,561843.5759585737,4553109.979
06040004,0.151,572631.6843135527,4540622.478
06040005,0.141,570078.0925,4528097.886
06040006,0.109,574354.8592,4531757.767100001
06040007,0.105,566710.0814548931,4542430.693
06040008,0.121,567198.0398810499,4548122.107
07010100,0.199,411899.3126050493,4496790.426
07010201,0.192,413305.3782248087,4498093.022
07020101,0.152,409026.0365711316,4500675.045
07020201,0.174,405960.48219484487,4500992.029
07030101,0.148,476448.8460032694,4499835.245
07030102,0.151,471299.9834028545,4499715.894
07030103,0.221,458819.0530162343,4504263.071
07030201,0.121,475892.0685383976,4510414.340249999
07030202,0.113,471396.3093000662,4505121.159
07030301,0.164,451723.0245548177,4497707.376
07030302,0.148,457798.7864317185,4493227.957900001
07030303,0.128,438557.5588871836,4498960.456599999
07030304,0.121,445448.4838267148,4498681.86
07030305,0.176,440781.8617469412,4500275.31225
07030401,0.106,463592.8371663069,4508644.204
07030402,0.08,454604.9258058555,4517487.489
07030403,0.065,459553.3202677735,4516658.819
07030404,0.103,466918.3649935855,4512117.426
07030405,0.086,455090.0207468487,4510929.259
07030501,0.116,439286.15633162967,4507342.927700001
07030502,0.174,434339.5253240408,4506430.52
07030503,0.194,444551.0546707787,4505961.26
07030504,0.111,435883.69358054135,4503142.181
07030601,0.133,462350.7035065983,4497546.486
07030602,0.094,457858.9351033657,4498873.105
07030603,0.16,467347.2359026721,4497986.742
07040101,0.175,397119.1031602442,4500701.0540000005
07040102,0.187,403665.66896015627,4503685.432
07040103,0.159,401448.90486010304,4498314.239
07040104,0.164,400810.8498565507,4505782.585899999
07040201,0.146,389688.2908195008,4494074.7935500005
07040202,0.139,385034.55959026975,4501162.182399999
07040203,0.159,387097.16290649417,4490717.023
07040301,0.15,396166.7605097667,4492566.46
07040302,0.139,390225.0317640174,4502704.606550001
07050101,0.165,408778.4763357164,4481982.768
07050102,0.146,404297.309908458,4483026.146
07050103,0.152,406936.9365948049,4481982.768
07050201,0.153,408991.8255553511,4474297.533
07050202,0.157,415248.9957841233,4474153.632449999
07050301,0.166,402038.9628299951,4480776.933
07050302,0.169,400936.7095823216,4483077.124
07050303,0.145,404346.2036225486,4481370.347800001
07060101,0.157,420421.2991,4488807.87
07060102,0.176,419894.4257463621,4485620.742
07060103,0.153,413850.9764756333,4484964.963
07060104,0.154,416818.7993283308,4480983.835
07060201,0.148,426633.91339636943,4481989.41
07060202,0.161,419709.6513723104,4481433.327
07060203,0.131,424890.82262993744,4474140.103
07060204,0.134,433702.0340952887,4486913.109
07060205,0.165,429788.34439643816,4487863.052
07060206,0.16,422529.41112638754,4479992.915
07060301,0.158,412000.4831121771,4478259.386
07060302,0.154,414923.2496105952,4480782.419
07060303,0.16,418255.1706304447,4474461.911
